Act_id,Focus area,associated Skill 1,associated Skill 2,associated skill 3,associated skill 4,1,2,3,4,5,6,7,8,9,10,11,12
98,Creativity,Creativity,Fine Motor Skills,None,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
99,Creativity,Creativity,Fine Motor Skills,Expression,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
100,Motor Skills,Concentration,Gross Motor Skills,Balance,Patience,Y,None,None,None,None,None,None,None,None,None,None,None
101,Creativity,Sensory Development,Fine Motor Skills,Creativity,Expression,Y,Y,Y,None,None,None,None,None,None,None,None,None
102,Cognitive,Sensory Development,Creativity,None,None,Y,Y,None,None,None,None,None,None,None,None,None,None
103,Motor Skills,Critical thinking,Focus,Determination,None,Y,Y,None,None,None,None,None,None,None,None,None,None
104,Empathy,Fine Motor Skills,Creativity,None,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
105,Empathy,Peace,Patience,Sensory Development,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
106,Imagination,Patience,Fine Motor Skills,None,None,Y,Y,Y,None,None,None,None,None,None,None,None
107,Creativity,Fine Motor Skills,Confidence,None,None,Y,Y,Y,None,None,None,None,None,None,None,None
108,Cognitive,Fine motor skills,Focus,Creativity,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
109,Sensory development,Fine Motor Skills,concentration,Observation skills,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
110,Creativity & imagination,Fine Motor Skills,Patience,Concentration,None,Y,Y,Y,Y,Y,None,None,None,None,None,None,None
111,Creativity & imagination,Fine Motor Skills,Patience,Concentration,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
112,Creativity & imagination,Focus,Patience,Observation skills,Fine Motor Skills,Y,Y,Y,None,None,None,None,None,None,None,None,None
113,Creativity,Fine Motor Skills,Concentration,None,None,Y,Y,None,None,None,None,None,None,None,None,None,None
114,Logical and Lateral,Cognitive Development,Focus,Patience,None,Y,Y,None,None,None,None,None,None,None,None,None,None
115,Logical and Lateral,Creativity,Imagination,Patience,Concentration,Y,Y,None,None,None,None,None,None,None,None,None,None
116,Communication,Teamwork,Collaboration,None,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
117,Creativity,Fine Motor Skills,Creativity,Focus,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
118,Motor Skills,Critical thinking,Focus,Concentration,None,Y,Y,None,None,None,None,None,None,None,None,None,None
119,Creativity,Fine Motor Skills,Focus,None,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
120,Cognitive,Observation skills,Memory,None,None,Y,Y,None,None,None,None,None,None,None,None,None,None
121,Motor Skills,Patience,concentration,None,None,Y,Y,None,None,None,None,None,None,None,None,None,None
122,Motor Skills,Concentration,Patience,Cognitive,None,Y,Y,None,None,None,None,None,None,None,None,None,None
123,Imagination,Creativity,Cognitive Development,Observation skills,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
124,Motor Skills,Creativity,Patience,Concentration,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
125,Motor Skills,Concentration,Problem Solving,Patience,None,Y,Y,None,None,None,None,None,None,None,None,None,None
126,Cognitive,Sensory Development,Critical Thinking,Memory,None,Y,Y,None,None,None,None,None,None,None,None,None,None
127,Cognitive,Sensory Development,Memory,Critical Thinking,None,Y,Y,None,None,None,None,None,None,None,None,None,None
128,Creativity,Sensory Development,Critical Thinking,Concentration,None,Y,Y,None,None,None,None,None,None,None,None,None,None
129,Creativity,motor skills,Sensory development,Concentration,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
130,Memory,cognitive development,Patience,focus,None,Y,Y,None,None,None,None,None,None,None,None,None,None
131,Self Discipline,Fine Motor Skills,Patience,None,None,Y,Y,None,None,None,None,None,None,None,None,None,None
132,Motor Skills,Creativity,Fine Motor Skills,Patience,None,Y,Y,None,None,None,None,None,None,None,None,None,None
133,Motor Skills,Creativity,Imagination,Sensory Development,None,Y,Y,Y,None,None,None,None,None,None,None,None
134,Creativity,Fine Motor Skills,Memory,Focus,Logical Reasoning,Y,Y,Y,None,None,None,None,None,None,None,None
135,Motor Skills,Balance,Co-ordination,Concentration,None,None,Y,Y,Y,None,None,None,None,None,None,None
136,Motor Skills,Sensory Development,Concentration,Speed,None,Y,Y,Y,None,None,None,None,None,None,None,None
137,Creativity,Motor skills,None,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
138,Creativity,observation skills,focus,motor skills,None,None,Y,Y,Y,None,None,None,None,None,None,None
139,Creativity,observation skills,focus,motor skills,None,Y,Y,Y,None,None,None,None,None,None,None,None
140,Creativity,motor skills,focus,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
141,Creativity & Imagination,motor skills,patience,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
142,Creativity & Imagination,motor skills,sensory organ development,problem solving,socio environmental awareness,None,Y,Y,Y,None,None,None,None,None,None,None
143,Fine Motor Skills,Concentration,Co- ordination,Focus,None,Y,Y,Y,None,None,None,None,None,None,None,None
144,cognitive development,Motor skills,Focus,Critical thinking,None,None,Y,Y,Y,None,None,None,None,None,None,None
145,Motor Skills,Cognitive Development,Reflexes,Gross Motor Skills,None,None,Y,Y,None,None,None,None,None,None,None,None
146,Logical and Lateral,Fine Motor Skills,Concentration,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
147,Motor Skills,Critical Thinking,Fine Motor Skills,Problem Solving,Focus,Y,Y,Y,None,None,None,None,None,None,None,None
148,Motor Skills,Critical Thinking,Focus,Concentration,None,None,Y,Y,None,None,None,None,None,None,None,None
149,creativity,Focus,Patience,Fine Motor Skills,None,None,Y,Y,None,None,None,None,None,None,None,None
150,Creativity,Patience,Fine Motor Skills,Concentration,None,Y,Y,Y,None,None,None,None,None,None,None,None
151,Creativity,Patience,Concentration,Fine Motor Skills,None,Y,Y,Y,None,None,None,None,None,None,None,None
152,Motor Skills,Concentration,Patience,Cognitive Development,None,None,Y,Y,None,None,None,None,None,None,None,None
153,Creativity,Fine Motor Skills,Naturalistic Intelligence,Concentration,None,None,Y,Y,None,None,None,None,None,None,None,None
154,Cognitive,Creativity,Motor Skills,None,None,None,Y,Y,None,None,None,None,None,None,None,None
155,Cognitive,Critical Thinking,Memory,motor skills,None,None,Y,Y,None,None,None,None,None,None,None,None
156,Creativity,Fine Motor Skills,Concentration,None,None,None,Y,Y,None,None,None,None,None,None,None,None
157,Cognitive,Fine Motor Skills,Concentration,Focus,Patience,Y,Y,Y,None,None,None,None,None,None,None,None
158,Motor Skills,Concentration,Patience,None,None,Y,Y,Y,None,None,None,None,None,None,None,None
159,Logical and Lateral,cognitive development,Memory,Fine Motor Skills,Critical Thinking,None,None,Y,Y,None,None,None,None,None,None,None,None
160,Imagination,Creativity,Observation skills,Critical Thinking,Concentration,None,Y,Y,None,None,None,None,None,None,None,None,None
161,Creativity,Observation Skills,Sensory Organ Development,Fine Motor Skills,Memory,Y,Y,Y,None,None,None,None,None,None,None,None,None
162,Logical and Lateral,Responsibility,Accountability,Creativity,Fine Motor Skills,None,Y,Y,Y,Y,None,None,None,None,None,None,None
163,Cognitive,creativity,Critical Thinking,Concept Learning,Memory,None,Y,Y,Y,None,None,None,None,None,None,None,None
164,Logical and Lateral,None,Concept Learning,None,None,None,None,Y,Y,Y,Y,None,None,None,None,None,None
165,Imagination,cognitive development,focus,None,None,None,None,Y,Y,None,None,None,None,None,None,None,None
166,Creativity,Observation Skills,creativity,None,None,Y,Y,Y,None,None,None,None,None,None,None,None,None
167,Motor Skills,focus,patience,None,None,None,Y,Y,Y,None,None,None,None,None,None,None,None
168,Creativity & Imagination,concentration,Fine Motor Skills,Patience,None,None,None,Y,Y,None,None,None,None,None,None,None,None
169,Cognitive  ,Critical Thinking,Reflexes,Concentration,None,None,None,Y,Y,Y,None,None,None,None,None,None,None
170,Motor Skills,Cognitive Development,Reflexes,Gross Motor Skills,Focus,None,None,Y,Y,None,None,None,None,None,None,None,None
171,Logical and Lateral,Focus,Fine Motor Skills,Concentration,None,None,None,Y,Y,None,None,None,None,None,None,None,None
172,Logical and Lateral,Critical Thinking,Concentration,Patience,Cognitive,None,Y,Y,Y,None,None,None,None,None,None,None,None
173,Imagination,Cognitive Development,Fine Motor Skills,Co-ordination,Concentration,None,Y,Y,Y,None,None,None,None,None,None,None,None
174,Logical and Lateral,Fine Motor Skills,Co-ordination,Focus,None,None,None,Y,Y,None,None,None,None,None,None,None,None
175,Memory,Cognitive Development,Fine Motor Skills,Focus,sensory Organ Development,None,None,Y,Y,None,None,None,None,None,None,None,None
176,Logical and Lateral,Critical Thinking,Co-ordination,Patience,None,None,None,Y,Y,None,None,None,None,None,None,None,None
177,Imagination,Fine Motor Skills,Patience,Critical Thinking,None,None,None,Y,Y,None,None,None,None,None,None,None,None
178,Motor Skills,concentration,cognitive development,Creativity,None,None,Y,Y,Y,None,None,None,None,None,None,None,None
179,Motor Skills,Concentration,Patience,None,None,None,Y,Y,None,None,None,None,None,None,None,None,None
180,Cognitive,Memory,Critical Thinking,Concentration,None,None,Y,Y,None,None,None,None,None,None,None,None,None
181,Motor Skills,concentration,patience,None,None,None,Y,Y,None,None,None,None,None,None,None,None,None
182,Creativity,concentration,Patience,Fine Motor Skills,None,None,Y,Y,Y,None,None,None,None,None,None,None,None
183,Cognitive,Memory,Concentration,None,None,None,None,Y,Y,None,None,None,None,None,None,None,None
184,Cognitive,motor skills ,Patience,Concentration,None,None,None,Y,Y,None,None,None,None,None,None,None,None
