1st grade;2nd Grade;3rd grade;4th Grade;5th Grade;6th Grade;7th Grade;8th Grade;9th Grade;10th Grade
Apple;Angry;Ashok;Adapt;Amber;Amber;Amber;Abate;Amber;Amber
Beach;Apple;Assam;Amber;Angel;Angel;Apple;Amber;Angel;Ample
Birds;Beach;Beach;Angel;Apple;Apple;Arrow;Angel;Arrow;Angel
Black;Beard;Bengal;Apple;Arrow;Arrow;Azure;Apple;Axiom;Arrow
Bread;Birds;Bihar;Arrow;Ashes;Basil;Basil;Arrow;Basil;Basil
Cakes;Black;Birds;Basil;Basil;Beach;Beach;Basil;Basin;Basin
Candy;Boots;Bright;Basin;Beach;Beads;Blend;Basin;Beach;Beach
Chair;Bread;Camel;Beach;Beads;Blend;Bread;Beach;Bloat;Bloom
Climb;Cakes;Caves;Blaze;Bloom;Bloom;Brick;Bloom;Bloom;Board
Clock;Candy;Cloud;Bloom;Boast;Brass;Brisk;Bluff;Board;Bread
Coast;Chair;Clown;Bread;Brass;Bread;Cabin;Board;Bread;Brisk
Crown;Chase;Coast;Brick;Bread;Brick;Cedar;Bread;Cabin;Cabin
Dance;Clock;Coral;Cabin;Brick;Brush;Chair;Cabin;Cedar;Cedar
Dream;Coast;Creek;Cedar;Brush;Cabin;Clasp;Cedar;Chair;Chair
Drink;Coins;Curry;Chair;Cabin;Cedar;Cloud;Chair;Cloud;Chide
Earth;Crown;Dance;Cloud;Cedar;Chair;Coast;Cloud;Comet;Cloud
Flash;Dance;Delhi;Coast;Chair;Chime;Comet;Comet;Coral;Comet
Forks;Drink;Delta;Comet;Chasm;Cloud;Coral;Coral;Crave;Coral
Giant;Dwarf;Durga;Coral;Chime;Coast;Creek;Creek;Creek;Creek
Glove;Earth;Eagle;Creek;Chirp;Comet;Crisp;Crown;Crown;Crown
Grape;Forks;Earth;Creek;Cloud;Coral;Crown;Crypt;Dance;Dance
Grass;Fruit;Fable;Crown;Coast;Creek;Dance;Dance;Diary;Diary
Green;Glove;Fauna;Dance;Comet;Crisp;Diary;Diary;Earth;Earth
Happy;Glove;Field;Diary;Coral;Crown;Diver;Drear;Epoch;Epoch
Heart;Grape;Flora;Drift;Creek;Dance;Douse;Earth;Fairy;Fairy
Hills;Grass;Ganga;Earth;Crisp;Diary;Earth;Elude;Flame;Flame
Horse;Green;Geeta;Fairy;Crown;Diver;Elicit;Fairy;Flora;Flora
null;Happy;Grass;Flame;Dance;Earth;Fairy;Feral;Fluke;Flume
House;Heart;Great;Flame;Diary;Fairy;Flair;Flame;Frost;Frost
Juice;Hills;Green;Flora;Drift;Flame;Flame;Flora;Globe;Globe
