activity_id;title;standard_id;gender_id;difficulty_level_id;activity_game_type_id;priority_id;act_category_id;parent_desc;child_desc;purpose_outcome;act_frequency_id;points;is_foundational;min_time_minutes;max_time_minutes;is_safety_risk;is_festival;festival_id;is_discrematory;is_external_dependency;is_parent_supervision;is_parent_involment;parent_involment_level_id;is_screen_time;screen_time_category_id;is_negative_effects;is_free;is_archived;created_by;updated_by;created_date;updated_date;revision
266;Sports Day Event 1;3;1;2;2;3;3;Organize a sports day event.;Participate in various sports activities like running, relay races, or soccer.;Promotes physical fitness and teamwork.;4;60;t;45;90;f;t;7;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-07 20:00:00;;0
267;Music Band Performance 1;3;2;3;2;2;4;Organize a music band performance.;Play musical instruments and perform as a band.;Enhances musical skills and fosters teamwork.;4;45;t;30;60;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-07 21:00:00;;0
268;Cooking Competition 1;3;1;2;3;3;3;Organize a cooking competition.;Prepare dishes and compete for the best recipe.;Enhances cooking skills and encourages healthy eating habits.;3;60;t;45;90;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-07 22:00:00;;0
269;Debate Competition 1;3;2;3;1;1;4;Organize a debate competition.;Engage in debates on various topics.;Enhances public speaking and critical thinking skills.;3;45;t;30;60;f;t;15;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-07 23:00:00;;0
270;Gardening Session 1;3;1;2;2;2;3;Organize a gardening session.;Plant flowers, vegetables, or herbs.;Teaches gardening skills and appreciation for nature.;4;45;t;30;60;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 00:00:00;;0
271;Nature Walk 2;3;1;2;2;2;3;Organize a nature walk.;Explore nearby parks or nature reserves.;Promotes appreciation for nature and physical activity.;4;45;t;30;60;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 01:00:00;;0
272;Board Games Night 2;3;2;3;2;3;4;Host a board games night.;Play classic board games like Monopoly, Scrabble, or Chess.;Fosters strategic thinking and social interaction.;3;60;t;45;90;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 02:00:00;;0
273;Cooking Class 2;3;1;2;3;2;3;Organize a cooking class.;Learn new recipes and cooking techniques.;Enhances culinary skills and promotes healthy eating habits.;4;60;t;45;90;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 03:00:00;;0
274;Art Exhibition 2;3;2;3;1;1;4;Organize an art exhibition.;Display artworks created by students.;Promotes creativity and self-expression.;3;45;t;30;60;f;t;15;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 04:00:00;;0
275;Dance Workshop 2;3;1;2;2;3;3;Organize a dance workshop.;Learn different dance styles like hip-hop, ballet, or salsa.;Improves coordination and promotes physical fitness.;4;45;t;30;60;f;f;;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 05:00:00;;0
276;Sports Day 2;3;1;2;3;3;3;Organize a sports day event.;Host various sports competitions like races, football, and basketball.;Promotes teamwork and physical fitness.;4;90;t;60;120;f;t;12;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 07:00:00;;0
277;Science Fair 2;3;2;3;2;2;4;Organize a science fair.;Display science projects and conduct experiments.;Encourages scientific inquiry and innovation.;4;75;t;45;90;f;t;6;f;f;t;t;3;f;3;f;t;f;test_user;;2024-06-08 08:00:00;;0
