Sr.No.;1st grade;2nd Grade;3rd grade;4th Grade;5th Grade;6th Grade;7th Grade;8th Grade;9th Grade;10th Grade;
1;Apple;Route;Ashok;Adapt;Amber;Amber;Amber;Abate;Amber;Amber;
2;Beach;Royal;Assam;Amber;Angel;Angel;Apple;Amber;Angel;Ample;
3;Birds;Rural;Beach;Angel;Arrow;Apple;Arrow;Apple;Arrow;Angel;
4;Black;Scale;Bengal;Arrow;Ashes;Arrow;Basil;Bluff;Axiom;Arrow;
5;Bread;Scene;Bihar;Basin;Beach;Basil;Beach;Board;Basil;Basil;
6;Cakes;Scope;Birds;Blaze;Beads;Beach;Blend;Chair;Basin;Basin;
7;Candy;Score;Bright;Bloom;Bloom;Beads;Bread;Cloud;Beach;Beach;
8;Chair;Sense;Camel;Brick;Boast;Blend;Brick;Comet;Bloat;Bloom;
9;Climb;Cakes;Caves;Cabin;Brass;Bloom;Brisk;Coral;Bloom;Board;
10;Clock;Candy;Cloud;Cedar;Bread;Brass;Cabin;Creek;Board;Bread;
11;Coast;Chair;Clown;Sweet;Brick;Bread;Cedar;Crown;Bread;Brisk;
12;Crown;Chase;Coast;Topic;Brush;Brick;Chair;Crypt;Cabin;Cabin;
13;Dance;Clock;Coral;Shock;Cabin;Brush;Clasp;Dance;Cedar;Cedar;
14;Dream;Coast;Creek;Comet;Chair;Cabin;Comet;Drear;Chair;Chair;
15;Drink;Coins;Curry;Queen;Cloud;Chair;Coral;Earth;Cloud;Chide;
16;Earth;Crown;Dance;Quick;Coast;Cloud;Creek;Elude;Comet;Cloud;
17;Flash;Dance;Delhi;Shall;Comet;Coast;Crisp;Fairy;Coral;Comet;
18;Forks;Forks;Durga;Plate;Coral;Comet;Crown;Feral;Crave;Coral;
19;Giant;Fruit;Eagle;Diary;Creek;Coral;Dance;Flame;Creek;Creek;
20;Glove;Pilot;Earth;Drift;Crisp;Creek;Diary;Flora;Crown;Crown;
21;Grape;Grape;Fable;Fairy;Crown;Crisp;Diver;Frost;Dance;Dance;
22;Grass;Grass;Fauna;Flame;Dance;Crown;Douse;Glean;Diary;Diary;
23;Green;Green;Field;Flora;Diary;Dance;Earth;Glint;Earth;Earth;
24;Happy;Happy;Flora;Frost;Drift;Diary;Elicit;Globe;Epoch;Epoch;
25;Heart;Heart;Ganga;Pilot;Eagle;Diver;Fairy;Grass;Fairy;Fairy;
26;Hills;Hills;Geeta;Grasp;Earth;Earth;Flair;Happy;Fluke;Flame;
27;Horse;Horse;Grass;Greet;Elate;Fairy;Flame;Haste;Globe;Flora;
28;Harry;House;Great;Thick;Fable;Flame;Flora;Hazel;Grass;Flume;
29;House;Jolly;Green;Trust;Fairy;Flora;Frost;Honey;Gritty;Frost;
30;Juice;King;Hindi;Honey;Flame;Frost;Glint;Horse;Happy;Phase;
31;Knife;Knife;Hindu;Joyful;Flora;Glimp;Globe;House;Hazel;Price;
32;Laugh;Lemon;Horse;Knack;Frost;Glint;Grasp;Jolly;Honey;Range;
33;Leave;Lotus;India;Maple;Glimp;Globe;Grass;Knack;Jolly;Happy;
34;Lemon;Mango;Jelly;Melon;Glint;Grass;Greet;Laugh;Seven;Hazel;
35;Lunch;Thick;Karma;Round;Globe;Greet;Happy;Livid;Knack;Honey;
36;Magic;Trust;Kerala;Savor;Gloom;Happy;Hazel;Maple;Lapse;Horse;
37;Great;Slide;Lakes;Peach;Grass;Hazel;Heist;Melon;Master ;House;
38;Mango;Stick;Lemon;Pearl;Greet;Heart;Honey;Music;Melon;Jolly;
39;Mouse;Theme;Lotus;Pulse;Gully;Honey;Horse;Oasis;Music;Knack;
40;Ocean;Tries;Mango;Ranch;Happy;Horse;House;Ocean;Niche;Knoll;
41;Plant;Small;March;Roast;Hasty;House;Jolly;Paint;Oasis;Laugh;
42;Plate;Rocks;Marsh;Shrine;Hazel;Jolly;Joust;Peach;Peach;Lilac;
43;Queen;Shoes;Music;Silky;Heart;Knack;Knack;Pearl;Pearl;Livid;
44;River;Sheep;North;Skies;Hiker;Knead;Knead;Plant;Poise;Maple;
45;Rocks;Snake;Parks;Smile;Honey;Laugh;Laugh;Poise;Pulse;Melon;
46;Round;Spice;Plain;Solar;Horse;Lilac;Leapt;Pulse;Rhino;Music;
47;Shark;Spoon;Plant;Spice;House;Maple;Lilac;Quiet;Roast;Oasis;
48;Shoes;Square;Polar;Spire;Jewel;Melon;Maple;Quirk;Savor;Ocean;
49;Smile;Phase;Punjab;Sunny;Jolly;Mirth;Melon;Ranch;Sheep;Paint;
50;Snake;Price;Range;Swirl;Kabob;Misty;Mirth;Rhino;Shrine;Peach;
51;Spoon;Range;Rhino;Tiger;Knack;Mount;Mount;River;Silky;Pearl;
52;Stone;Tiger;Rishi;Torch;Knead;Music;Music;Roast;Skies;Plant;
53;Sugar;Toast;River;Trail;Laugh;Oasis;Oasis;Round;Snail;Poise;
54;Sweet;Trail;Rocks;Tulip;Lunar;Ocean;Ocean;Savor;Solar;Pulse;
55;Teeth;Trees;Saree;Villa;Maple;Orchid;Orchid;Sheep;Spice;Quaff;
56;Tiger;Trick;Sheep;Sheep;Melon;Paint;Paint;Shrine;Spire;Ranch;
57;Toast;About;Sitar;Whale;Merit;Peach;Peach;Silky;Sport;Rhino;
58;Trees;Above;Slope;Witty;Moist;Pearl;Pearl;Skies;Storm;River;
59;Trick;Abuse;Sloth;Woven;Mount;Plant;Pilot;Smile;Suite;Roast;
60;White;Actor;Snake;Yacht;Music;Plumy;Plumy;Snail;Sunny;Sheep;
61;Table;Acute;South;Zebra;Oasis;Poise;Poise;Solar;Swirl;Shrine;
62;Eagle;Admit;Spice;Zooms;Ocean;Pulse;Pulse;Spice;Tiger;Silky;
63;Fruit;Adopt;Stone;Cloud;Orchid;Quail;Quail;Spire;Torch;Skies;
64;Nurse;Adult;Tamil;About;Paint;Queen;Ranch;Sport;Trail;Smile;
65;Pencil;After;Tiger;Alert;Peach;Quiet;Rhino;Storm;Tryst;Snail;
66;Rainy;Again;Trees;Argue;Pearl;Quirk;River;Suite;Tulip;Solar;
67;Water;Agent;Water;Beach;Pilot;Rainy;Roast;Sunny;Villa;Spice;
68;Zebra;Agree;Whale;Above;Plane;Ranch;Round;Swirl;Vital;Spire;
69;Bunny;Ahead;White;Alike;Plant;Rhino;Savor;Tiger;Voice;Sunny;
70;Fairy;Alarm;black;Arise;Plumy;River;Sheep;Torch;Whale;Swirl;
71;Globe;Album;About;Began;Poise;Roast;Silky;Trail;Wheel;Tiger;
72;Jelly;Alert;Alert;Abuse;Pulse;Round;Skies;Tulip;Witty;Torch;
73;Koala;Alike;Argue;Alive;Quail;Savor;Smile;Unity;Woven;Trail;
74;Lucky;Alive;Above;Array;Queen;Sheep;Snail;Villa;Yacht;Tulip;
75;Panda;Allow;Alike;Begin;Quiet;Silky;Snare;Vital;Yodel;Villa;
76;Quiet;Alone;Arise;Actor;Quirk;Skies;Solar;Voice;Youth;Vital;
77;Ruler;Along;Began;Allow;Rainy;Smile;Spice;Whale;Zebra;Voice;
78;Sunny;Alter;Abuse;Aside;Ranch;Snail;Spire;Wheel;while;Whale;
79;Unity;Among;Alive;Begun;Rhino;Snare;Sport;Witty;Burst;Wheel;
80;Xerox;Anger;Array;Acute;River;Solar;Squid;Woven;Mixed;Witty;
81;About;Angle;Begin;Alone;Roast;Spice;Storm;Yacht;Novel;Woven;
82;Above;Angry;Actor;Asset;Round;Spire;Suite;Yodel;Later;Wryly;
83;Actor;Apart;Allow;Being;Savor;Sport;Sunny;Zebra;Lucky;Yacht;
84;Acute;Apple;Aside;Admit;Sheep;Squid;Swirl;Burst;Model;Yodel;
85;Admit;Apply;Begun;Along;Shrine;Storm;Tiger;Tries;Nurse;Youth;
86;Adopt;Argue;Acute;Audio;Silky;Suite;Torch;Small;Money;Zebra;
87;Adult;Arise;Alone;Below;Skies;Sunny;Trail;Still;Occur;while;
88;After;Array;Asset;Adopt;Smile;Swirl;Tulip;There;Layer;Burst;
89;Again;Aside;Being;Alter;Snail;Tiger;Villa;Truck;Lying;Trust;
90;Agent;Audio;Admit;Audit;Snare;Torch;Vital;Smart;Month;gamer;
91;Agree;Audit;Along;Bench;Solar;Trail;Voice;Stock;Learn;genie;
92;Ahead;Avoid;Audio;Adult;Spice;Tulip;Whale;These;Moral;grave;
93;Alarm;Award;Below;Among;Spire;Unity;Wheel;Truly;Offer;giant;
94;Album;Aware;Adopt;Avoid;Sport;Banish;Witty;Third;Lease;gravy;
95;Boost;Badly;Alter;Billy;Storm;Crave;Woven;Under;Major;grate;
96;Booth;Baker;Audit;After;Words;Forth;Yacht;Solve;Motor;gavel;
97;Bound;Bases;Bench;Anger;About;Gleam;Yodel;Story;Often;gaudy;
98;Brain;Basic;Adult;Award;Alert;Hinge;Youth;Those;Least;gauge;
99;Brand;Basis;Among;Birth;Argue;Ivory;Zebra;Undue;Maker;gaunt;
100;Break;Beach;Avoid;Again;Above;Lapse;Zesty;Sorry;Mount;gaily;
101;Breed;Began;Billy;Angle;Alike;Merge;Zooms;Strip;Order;gauze;
102;Brief;Begin;After;Aware;Arise;Realm;Third;Three;Leave;gault;
103;Bring;Begun;Anger;Black;Began;Vault;Under;Union;March;gates;
104;Broad;Being;Award;Agent;Abuse;Trust;Solve;Sound;Other;genic;
105;Broke;Below;Birth;Angry;Alive;About;Story;Stuck;Legal;genus;
106;Brown;Bench;Again;Badly;Array;Alert;Those;Worth;Mouth;genes;
107;Build;Birth;Angle;Blame;Begin;Argue;Undue;Visit;Ought;genre;
108;Built;Black;Aware;Agree;Actor;Above;Sorry;Would;Level;geeky;
109;Debut;Blame;Agent;Apart;Allow;Alike;Strip;Urban;Match;geese;
110;Delay;Blind;Angry;Baker;Aside;Arise;Three;Whose;Movie;genet;
111;Depth;Block;Badly;Blind;Begun;Began;Union;Watch;Paint;geoid;
112;Doing;Blood;Blame;Ahead;Acute;Abuse;Sound;Write;Light;ghost;
113;Doubt;Board;Agree;Apple;Alone;Alive;Stuck;Usage;Mayor;girth;
114;Dozen;Boost;Apart;Bases;Asset;Array;Threw;Woman;Needs;gilet;
115;Draft;Brain;Baker;Block;Being;Begin;Unity;Wrong;Paper;gismo;
116;Drama;Brand;Blind;Alarm;Admit;Actor;South;Usual;Limit;girly;
117;Alert;Bread;Ahead;Apply;Along;Allow;Study;Train;Meant;giddy;
118;Alike;Break;Apple;Basic;Audio;Aside;Throw;Wrote;Never;giver;
119;Alive;Breed;Bases;Blood;Below;Begun;Until;Valid;Party;glazy;
120;Allow;Brief;Block;Album;Adopt;Acute;Space;World;Peace;glide;
121;Alone;Bring;Alarm;Arena;Alter;Alone;Stuff;Where;Power;gloom;
